Female,LangAtHome,PARED,HOMEPOS,IMMIG,PV1MATH,year
0,1,9,-0.3009,1,336.9216,2003
0,1,16,2.048,1,654.9618,2003
1,1,12,2.048,1,530.0203,2003
1,1,15,0.8223,1,491.2292,2003
0,0,9,-0.8142,0,515.7657,2003
0,1,16,1.2493,1,339.9595,2003
0,1,12,-2.0408,1,364.2623,2003
1,0,0,-0.046,0,354.5256,2003
1,1,12,2.048,1,596.3857,2003
1,1,16,-0.046,1,547.3127,2003
1,1,12,0.2161,1,601.9162,2003
0,1,12,0.2161,1,458.9033,2003
1,1,0,-1.082,1,355.8498,2003
0,1,16,0.2161,0,605.1098,2003
0,1,15,0.4977,1,516.9341,2003
1,1,16,0.2161,1,548.8705,2003
1,1,12,1.2493,1,282.1623,2003
0,1,16,0.4977,1,512.8836,2003
1,1,15,-0.3009,1,356.9403,2003
1,1,15,-0.3009,1,436.3141,2003
1,0,12,0.2161,0,317.3703,2003
0,1,16,2.048,1,699.9844,2003
1,1,16,1.2493,1,637.6694,2003
1,0,16,1.2493,0,547.9358,2003
0,1,12,0.2161,0,480.7135,2003
0,1,12,0.4977,1,451.3476,2003
1,1,15,1.2493,1,481.7261,2003
0,1,16,-0.046,1,364.7297,2003
0,1,12,0.2161,1,539.5233,2003
1,1,12,-0.046,1,413.4133,2003
0,1,12,-1.082,1,551.5968,2003
1,1,12,0.4977,1,540.3801,2003
1,1,12,1.2493,0,557.8283,2003
0,1,16,-0.3009,0,527.4498,2003
0,1,16,1.2493,1,338.4795,2003
0,1,12,0.4977,1,398.224,2003
1,1,16,-0.046,1,398.6914,2003
1,1,12,-0.8142,1,504.549,2003
0,1,12,0.8223,1,498.2396,2003
0,1,12,-1.082,1,536.8749,2003
0,1,16,0.2161,1,499.0185,2003
0,1,12,-0.3009,1,460.1496,2003
0,1,12,-0.046,1,424.3963,2003
1,1,12,1.2493,1,483.5177,2003
1,0,12,-3.358,1,469.1073,2003
1,1,12,-0.046,1,552.7652,2003
1,1,12,2.048,1,539.5233,2003
1,1,12,0.2161,1,399.3924,2003
1,1,16,1.2493,1,509.9237,2003
0,1,15,0.8223,1,512.2605,2003
0,1,16,1.2493,1,459.7601,2003
0,1,12,-0.5554,1,516.6225,2003
1,1,12,0.2161,1,309.7367,2003
1,1,16,2.048,1,479.623,2003
1,1,12,0.4977,1,389.5778,2003
0,1,16,-0.046,1,553.3884,2003
0,1,12,-1.082,1,408.7397,2003
1,1,12,2.048,1,514.5194,2003
0,1,12,1.2493,1,527.4498,2003
1,1,12,-0.8142,1,381.399,2003
1,1,12,-0.3009,1,442.6235,2003
1,1,16,0.4977,1,485.8545,2003
0,1,9,-1.082,1,512.9615,2003
0,1,12,0.2161,0,470.9768,2003
1,1,12,0.2161,1,458.5138,2003
0,1,16,-0.5554,1,507.4311,2003
1,0,12,0.8223,0,350.2415,2003
1,1,16,2.048,1,382.8011,2003
1,1,12,-0.3009,1,476.8967,2003
0,0,16,-0.046,0,508.7553,2003
1,1,16,2.048,0,617.1055,2003
0,1,16,1.2493,1,528.4624,2003
0,0,16,1.2493,1,735.8934,2003
0,1,16,2.048,0,515.2204,2003
1,1,16,1.2493,1,544.8201,2003
0,1,16,0.8223,1,495.5912,2003
1,1,12,0.2161,1,576.9902,2003
0,1,16,0.8223,1,367.7676,2003
0,1,16,1.2493,1,278.4234,2003
0,1,15,0.2161,1,533.3697,2003
1,1,16,2.048,1,673.5784,2003
1,1,12,-1.082,1,389.5778,2003
0,1,12,-0.3009,0,652.625,2003
1,1,12,0.2161,1,532.9023,2003
1,0,16,0.2161,0,507.2753,2003
1,0,6,-2.0408,0,375.9464,2003
1,1,16,2.048,1,481.1809,2003
0,0,0,-1.3135,0,287.2254,2003
0,1,9,-0.5554,1,632.84,2003
0,1,16,0.2161,1,624.8948,2003
0,1,12,2.048,1,552.7652,2003
1,1,9,-2.5119,0,394.7188,2003
0,1,12,0.8223,1,614.3013,2003
0,1,15,-2.5119,1,323.7576,2003
1,1,12,-0.046,1,537.8096,2003
0,1,16,0.4977,1,419.4111,2003
0,1,16,2.048,1,628.4001,2003
0,0,16,-3.358,0,569.1229,2003
1,1,16,2.048,1,599.6573,2003
0,0,16,1.2493,0,557.8283,2003
1,1,14,0.0766,1,392.1094,2006
1,0,16,-0.2986,0,496.4091,2006
0,1,12,-0.7935,1,427.3952,2006
1,1,16,0.2887,1,502.6406,2006
1,1,16,2.6722,1,505.1332,2006
0,1,9,-1.1003,1,507.47,2006
1,1,16,-1.2513,1,421.0079,2006
0,1,16,0.527,1,574.3807,2006
1,1,12,-0.9481,0,517.4404,2006
1,1,12,1.6531,1,445.155,2006
0,1,16,0.1016,1,477.7146,2006
0,0,16,-0.2986,0,595.49,2006
0,0,9,-0.7935,0,478.4935,2006
1,1,12,-1.4025,1,460.578,2006
0,1,16,0.0766,1,467.6663,2006
1,1,12,-0.9481,1,337.8953,2006
1,1,12,-0.1168,1,484.3356,2006
1,1,16,1.6531,1,390.4736,2006
0,1,14,-0.9481,1,411.1154,2006
0,1,12,0.0766,1,398.263,2006
1,1,14,1.1543,1,493.6049,2006
1,1,12,0.8062,1,464.5506,2006
0,1,14,-0.2986,1,449.8286,2006
1,1,12,-0.1168,1,510.43,2006
1,1,9,-1.1003,1,427.8626,2006
1,1,12,-1.2513,1,478.4935,2006
1,1,9,-0.1168,1,330.028,2006
0,1,16,1.6531,1,560.6714,2006
1,1,14,-0.1168,1,584.5069,2006
0,1,14,-0.1168,1,318.8113,2006
1,1,16,0.0766,1,350.0467,2006
1,1,14,-0.2986,1,478.4935,2006
1,1,16,2.6722,1,545.0148,2006
0,1,16,0.2887,1,604.6814,2006
0,1,14,-1.7137,1,379.5685,2006
1,0,12,0.2887,0,484.3356,2006
1,0,3,-0.6348,0,450.5297,2006
1,1,12,0.527,1,596.892,2006
0,1,14,0.8062,1,488.6197,2006
0,1,12,0.0766,1,386.9684,2006
1,1,12,0.8062,0,543.2232,2006
1,1,12,0.8062,1,599.6183,2006
1,1,16,-1.1003,1,421.0079,2006
0,1,12,0.0766,1,452.0876,2006
0,1,16,0.0766,1,518.3751,2006
0,1,12,-0.7935,1,437.9888,2006
0,0,9,-1.4025,0,494.8512,2006
1,0,16,0.2887,0,405.6629,2006
1,1,16,-0.6348,1,411.5049,2006
0,1,14,-1.4025,1,438.3783,2006
0,1,12,-1.1003,1,628.8285,2006
0,1,16,0.527,1,454.7359,2006
1,1,12,-1.1003,1,436.5088,2006
0,1,12,-0.2986,1,473.041,2006
0,1,16,0.527,1,524.6066,2006
1,1,16,1.1543,1,496.0196,2006
0,0,12,-0.3088,0,394.5241,2006
0,1,16,-0.2986,1,653.365,2006
1,1,12,-0.7935,1,504.1985,2006
1,1,14,-1.2513,1,532.6297,2006
0,1,16,2.6722,1,622.9864,2006
1,1,14,-0.2986,1,431.0562,2006
1,1,14,0.2887,1,579.7554,2006
0,1,12,0.8062,1,648.6914,2006
0,1,16,-0.1168,1,476.1567,2006
0,0,14,-0.4704,0,466.42,2006
1,1,12,-1.7137,1,342.3353,2006
1,1,12,-0.4704,1,458.3969,2006
1,1,16,2.3263,1,423.3448,2006
1,1,16,0.0766,1,602.6562,2006
1,1,12,0.0766,1,459.0201,2006
1,1,16,0.2887,1,595.3342,2006
0,1,14,-1.5564,1,461.5127,2006
1,1,16,0.8062,1,623.4538,2006
0,1,14,0.2887,1,589.4921,2006
0,1,14,-0.617,1,369.4423,2006
1,0,9,-2.6481,0,457.4622,2006
0,0,14,-0.6348,1,307.2831,2006
0,0,16,0.8062,0,638.9547,2006
1,1,12,-0.2986,1,449.6728,2006
0,1,16,0.0766,1,654.1439,2006
1,1,16,2.6722,1,428.6415,2006
0,1,14,-0.1168,1,413.0628,2006
0,0,12,-1.7137,0,438.3004,2006
1,1,16,2.6722,1,530.6823,2006
0,1,12,-0.1168,1,520.5562,2006
0,1,12,-0.2986,0,515.4152,2006
0,1,14,-1.4025,1,396.7051,2006
1,1,12,-0.4704,1,409.3239,2006
0,1,12,-1.7512,1,441.8835,2006
1,1,14,-1.2513,1,415.3996,2006
1,1,14,-0.9481,1,561.8399,2006
0,1,16,-0.5035,1,355.4993,2006
1,1,12,2.6722,1,584.429,2006
0,1,14,-0.2986,1,405.2734,2006
1,1,12,1.6531,1,457.4622,2006
1,1,12,0.0766,1,336.1038,2006
1,1,16,-0.2986,1,603.1235,2006
1,1,16,-0.9481,1,506.6911,2006
1,1,12,0.527,1,502.0174,2006
0,1,14,-0.2419,1,452.73,2009
1,0,9,0.0976,0,432.16,2009
1,0,9,0.7021,0,442.6,2009
1,1,12,0.0976,1,519.56,2009
0,1,14,0.2843,1,503.44,2009
1,1,16,0.7021,1,568.4,2009
0,1,16,2.5602,1,619.89,2009
1,1,14,-0.0765,1,462.85,2009
1,0,6,-0.2419,0,422.82,2009
0,1,16,-0.2419,1,538.88,2009
0,1,12,-0.2419,1,525.56,2009
0,0,12,0.0976,0,497.75,2009
0,1,12,0.6983,0,518.62,2009
1,1,12,-0.0765,0,537.32,2009
1,0,9,-1.5409,0,478.51,2009
1,1,16,1.9644,1,531.09,2009
1,0,14,1.9644,0,413.47,2009
1,1,14,-0.5495,1,457.87,2009
0,1,16,-0.0765,1,556.79,2009
0,0,6,-1.1173,0,541.21,2009
1,1,16,1.5475,1,510.06,2009
0,1,14,-0.2419,1,508.58,2009
1,1,12,-0.8378,1,534.9,2009
0,1,16,2.5602,1,478.28,2009
1,1,14,-0.3986,1,369.77,2009
1,1,16,-0.0765,1,489.8,2009
1,1,16,2.5602,0,631.96,2009
0,1,16,1.2196,1,495.33,2009
0,1,16,0.0976,1,465.97,2009
1,1,12,1.2196,1,600.41,2009
0,0,12,-0.5495,0,408.95,2009
1,1,12,0.2843,1,409.96,2009
0,1,16,0.9439,1,559.21,2009
0,1,14,1.5475,1,543.86,2009
0,1,16,-0.978,1,507.72,2009
0,1,9,-0.978,1,435.28,2009
1,1,12,-0.978,1,471.5,2009
0,1,16,-0.0765,1,371.48,2009
0,1,12,-0.2419,1,488.25,2009
1,1,12,-0.3986,1,513.33,2009
1,1,12,-2.159,1,455.06,2009
0,1,16,-0.0765,1,476.95,2009
1,0,12,-0.978,0,534.2,2009
0,1,12,-0.8378,1,567,2009
1,0,12,0.2843,0,571.59,2009
0,1,14,-0.5495,1,441.43,2009
1,1,12,1.5475,1,474.22,2009
1,1,14,-0.0765,0,516.99,2009
0,1,12,0.0976,1,463.32,2009
1,1,14,0.7021,1,513.17,2009
1,1,16,0.4835,1,609.76,2009
0,1,16,-0.0765,1,719.2,2009
1,1,16,1.9644,1,418.45,2009
0,1,16,2.5602,1,513.95,2009
1,1,12,-0.2419,1,413.47,2009
1,0,9,-0.5495,0,551.34,2009
0,1,12,-0.6956,0,491.67,2009
1,1,16,0.9439,1,531.09,2009
0,1,16,0.7021,0,632.35,2009
0,1,14,1.2196,1,649.56,2009
0,1,14,1.5475,1,619.11,2009
0,1,16,-0.3986,0,468.15,2009
0,1,12,-0.3986,1,477.34,2009
1,1,12,0.2843,1,418.14,2009
0,1,16,-0.0765,1,275.99,2009
1,1,16,0.7021,1,492.84,2009
0,1,12,1.2196,1,479.05,2009
1,1,16,-0.0765,1,445.4,2009
1,1,16,1.3028,1,296.63,2009
0,1,12,-1.2566,1,496.35,2009
1,1,16,-0.6956,1,447.04,2009
1,1,14,0.4835,1,483.88,2009
0,1,12,0.4835,1,573.93,2009
0,1,12,-0.6956,1,449.3,2009
1,1,12,0.4835,1,481.16,2009
0,1,12,-0.978,1,411.83,2009
0,1,16,0.4835,1,405.68,2009
0,1,16,-0.2419,1,587.87,2009
0,0,12,-0.2419,0,386.59,2009
0,1,12,-0.5495,1,386.98,2009
0,1,16,0.4835,1,445.4,2009
0,1,16,0.2843,1,579.38,2009
0,1,16,-0.0765,1,533.42,2009
0,1,9,-0.6956,1,483.49,2009
1,1,12,0.2843,1,564.58,2009
1,1,12,0.0976,1,372.34,2009
1,1,12,1.2196,0,506.55,2009
1,1,14,0.9439,1,364.32,2009
0,1,16,-0.0765,1,485.29,2009
0,1,14,0.4835,1,534.9,2009
1,1,12,0.9439,1,429.44,2009
0,1,14,0.2843,1,546.59,2009
1,1,12,0.4835,1,548.93,2009
1,1,12,-0.2419,1,512.39,2009
1,1,12,0.2843,1,465.81,2009
1,1,12,-0.3986,1,606.96,2009
1,1,14,-0.3986,1,511.61,2009
1,0,16,-0.2419,0,564.58,2009
0,1,12,-0.0765,1,490.19,2009
0,1,14,-0.8378,1,343.29,2009
0,1,12,-0.5,1,403.3416,2012
1,1,16,-0.98,1,374.1315,2012
0,1,12,2.53,1,354.0349,2012
0,1,16,0.87,1,586.7814,2012
1,1,14,0.62,1,570.3458,2012
1,0,12,-0.49,0,456.3873,2012
1,1,14,-0.16,0,480.067,2012
1,1,12,-2.14,1,433.4086,2012
0,1,14,0.62,1,585.2236,2012
1,1,3,-0.5,0,490.8942,2012
1,1,14,0.02,1,462.1514,2012
0,0,12,-1.14,0,485.6753,2012
0,0,14,-0.66,0,428.5792,2012
0,1,12,-0.82,1,460.983,2012
1,1,16,0.62,1,651.1217,2012
0,1,16,1.42,1,545.1083,2012
0,1,16,-0.33,1,502.6562,2012
1,1,12,0.87,1,522.1296,2012
1,1,16,1.91,1,544.9525,2012
1,0,16,-0.66,0,305.9745,2012
1,1,16,-1.98,1,393.527,2012
0,1,12,0.87,1,466.0461,2012
1,1,14,0.41,0,427.0213,2012
1,1,12,-0.66,1,304.806,2012
0,1,16,1.91,1,603.8402,2012
0,1,16,-0.16,1,519.0139,2012
1,1,16,1.15,1,419.4656,2012
0,0,12,-0.98,0,511.9255,2012
0,1,16,2.53,1,556.0134,2012
1,1,16,0.02,1,455.0631,2012
0,1,16,0.41,1,467.7598,2012
0,1,14,-1.63,1,457.6336,2012
1,1,16,0.62,1,570.268,2012
0,1,16,1.48,1,487.9343,2012
0,1,12,-1.14,1,382.544,2012
1,1,6,-0.66,0,519.2475,2012
0,1,12,-0.98,1,571.2027,2012
0,1,16,0.41,1,523.6096,2012
1,1,16,-0.5,1,453.5052,2012
1,1,14,-0.33,1,403.7311,2012
1,1,12,-1.3,1,404.4322,2012
0,1,16,-0.16,1,529.1401,2012
0,1,12,-0.23,0,574.1626,2012
0,1,12,-0.98,0,512.7824,2012
0,1,14,-0.98,1,479.6775,2012
1,1,16,1.91,1,502.6562,2012
1,1,14,0.02,1,487.4669,2012
1,0,9,-2.08,0,338.6898,2012
0,1,12,0.03,1,374.8325,2012
0,1,12,-1.45,1,367.9,2012
0,1,14,0.02,1,610.0717,2012
0,1,16,0.2,1,526.959,2012
1,1,16,0.41,1,656.4963,2012
1,1,16,0.62,1,474.6144,2012
0,1,12,0.2,1,420.0888,2012
0,0,16,1.48,0,495.5678,2012
0,1,16,0.87,1,528.5169,2012
0,1,6,0.41,0,506.473,2012
0,1,9,-0.82,1,396.6428,2012
1,1,16,0.62,1,582.8867,2012
1,1,16,0.87,1,387.2955,2012
0,1,12,0.02,1,541.5252,2012
0,0,12,-1.3,1,347.8813,2012
0,1,12,-0.53,1,518.2349,2012
1,1,14,1.15,1,431.7729,2012
0,1,16,0.62,1,291.5641,2012
0,1,16,0.2,1,310.1807,2012
1,1,12,0.41,1,482.4817,2012
1,0,12,-0.5,0,440.8085,2012
0,1,16,-0.98,1,582.8867,2012
1,1,16,2.53,1,462.0735,2012
0,1,12,-0.33,1,473.2902,2012
1,1,16,0.41,1,643.6439,2012
1,1,16,0.02,1,385.6598,2012
1,1,12,0.41,1,388.9313,2012
0,1,9,-2.6,1,403.7311,2012
1,1,16,-0.5,1,425.5414,2012
1,1,12,-0.33,1,317.9701,2012
1,1,16,0.2,1,521.7401,2012
0,1,12,-0.82,1,340.5593,2012
0,1,12,-0.33,1,310.1807,2012
1,1,12,0.02,1,598.3876,2012
1,1,16,0.62,1,580.0047,2012
1,1,16,-1.3,1,418.3751,2012
0,1,12,-0.81,1,289.8504,2012
1,1,12,0.62,1,407.7037,2012
1,1,14,0.19,0,509.1214,2012
0,1,16,-0.5,1,278.2443,2012
1,0,16,1.48,0,448.8316,2012
1,1,16,1.15,1,462.1514,2012
0,1,12,2.53,1,439.4843,2012
1,1,12,-0.82,1,396.7207,2012
0,1,16,1.91,1,679.6308,2012
1,1,16,-0.16,1,496.0352,2012
0,1,14,-0.33,1,611.9411,2012
1,1,12,0.02,1,418.7646,2012
0,1,16,0.62,1,583.8994,2012
0,1,16,0.87,1,654.0037,2012
1,1,16,0.41,1,495.6457,2012
1,1,16,-0.33,1,628.8441,2012
0,1,16,0.1652,1,578.067,2015
0,1,9,1.1624,1,344.67,2015
0,1,12,0.2057,1,467.677,2015
1,0,14,-0.4215,0,382.593,2015
0,1,12,-3.127,1,505.868,2015
1,1,16,0.3217,1,284.57,2015
1,1,16,0.144,1,504.044,2015
0,1,14,-0.1728,0,603.871,2015
0,1,14,1.8924,1,343.216,2015
1,1,12,1.4582,0,437.19,2015
0,1,16,0.7702,1,586.514,2015
1,1,16,-0.3342,1,512.137,2015
1,0,16,0.4778,0,504.106,2015
0,1,12,-0.4631,1,462.782,2015
1,1,16,0.251,1,405.324,2015
0,0,12,0.2187,0,447.206,2015
0,0,12,0.9601,0,549.649,2015
1,1,12,0.2905,1,393.006,2015
0,1,16,0.9627,1,515.767,2015
0,1,12,-1.315,1,478.219,2015
1,1,16,1.1613,1,327.174,2015
0,1,12,-0.664,1,502.963,2015
1,1,16,1.1662,1,578.767,2015
0,1,16,2.4292,1,471.337,2015
1,0,14,1.6881,1,563.239,2015
0,0,9,0.0688,0,276.795,2015
1,0,12,0.0751,1,319.964,2015
0,1,16,2.7659,1,437.432,2015
1,1,16,0.6191,1,550.222,2015
1,1,16,0.3747,0,606.8,2015
0,0,16,0.3977,0,576.065,2015
1,1,12,1.3691,1,504.759,2015
1,1,16,1.1762,1,335.076,2015
1,0,12,-0.8373,1,413.561,2015
1,1,12,-0.5213,1,470.198,2015
1,1,16,1.2879,1,511.978,2015
0,1,14,0.5144,0,529.277,2015
1,1,16,-0.4811,1,393.627,2015
1,0,16,-0.6137,0,488.408,2015
1,1,16,2.0415,1,615.971,2015
0,1,16,-0.5181,1,421.162,2015
0,1,16,0.9359,1,462.134,2015
1,1,16,2.221,1,585.838,2015
1,1,16,-1.247,1,454.389,2015
0,0,9,0.011,0,429.788,2015
1,1,12,1.7686,1,427.638,2015
1,1,16,0.4362,1,380.572,2015
1,1,16,1.3272,1,480.621,2015
0,1,16,1.8769,1,515.309,2015
1,1,16,0.0377,1,355.059,2015
0,1,12,-0.7169,0,496.753,2015
1,0,9,-1.2886,0,430.773,2015
0,1,9,2.0842,1,241.467,2015
1,1,14,-0.4031,1,376.771,2015
1,1,14,-1.5422,1,527.782,2015
1,1,12,-0.3878,0,426.945,2015
0,1,16,1.9595,1,594.88,2015
1,1,14,1.1485,1,532.843,2015
0,1,16,1.496,0,509.981,2015
1,1,16,-0.3065,1,369.33,2015
0,1,12,-0.5019,0,341.066,2015
1,1,16,0.225,1,471.095,2015
1,1,16,2.8913,1,633.686,2015
0,0,6,-1.5805,0,324.566,2015
1,1,12,-0.6765,1,334.719,2015
0,1,12,0.5465,1,468.452,2015
1,0,12,-2.0931,0,410.25,2015
0,1,16,0.4379,1,503.559,2015
0,1,12,-0.5118,1,557.445,2015
0,1,16,-1.4575,1,553.949,2015
1,0,3,-1.338,0,327.163,2015
1,1,16,0.7771,1,480.849,2015
0,1,16,1.3577,1,492.258,2015
1,0,16,1.6001,0,293.262,2015
1,0,16,-1.0475,1,560.101,2015
1,1,16,-0.1609,1,642.367,2015
0,1,16,1.5668,1,416.654,2015
1,1,16,0.789,1,465.337,2015
1,1,12,-1.2162,1,414.316,2015
1,0,16,-0.1154,0,597.383,2015
1,1,14,0.5083,0,461.344,2015
1,0,12,-0.8989,0,420.004,2015
0,1,16,-0.1574,1,395.321,2015
0,1,16,0.0101,1,379.842,2015
0,0,12,-0.2734,0,551.52,2015
1,1,12,1.939,1,655.926,2015
0,1,14,-0.0912,1,209.008,2015
1,1,12,-0.0664,1,486.607,2015
1,1,16,1.9221,1,544.963,2015
1,1,12,-0.1802,1,302.256,2015
0,1,14,-1.4485,1,439.033,2015
1,1,16,-0.0191,1,470.949,2015
0,1,12,-0.686,1,403.678,2015
1,1,9,-2.1199,1,365.304,2015
1,1,16,2.0654,0,410.147,2015
1,1,16,0.6381,1,487.15,2015
0,1,16,0.2559,1,540.228,2015
1,1,16,2.1682,1,602.2,2015
1,0,12,-0.1481,0,480.556,2015
0,0,12,-1.171,0,509.709,2015
0,1,16,1.1396,1,1.607434116,2018
0,1,16,0.1032,1,-1.402098964,2018
0,1,16,2.6094,1,0.431628409,2018
1,0,16,1.4521,0,0.459980521,2018
1,1,16,0.1049,1,0.226871636,2018
0,1,16,0.7383,1,0.729369205,2018
0,1,16,1.958,1,2.336748581,2018
1,1,16,-0.3938,1,-0.280860168,2018
1,0,16,-0.495,0,-0.678182305,2018
1,1,16,0.9995,1,-0.184604747,2018
0,1,16,1.0894,0,1.704441958,2018
0,1,16,0.7423,1,1.33860157,2018
1,0,14,-0.209,0,1.054360742,2018
1,1,12,-2.2952,1,-1.466774493,2018
0,1,12,0.7745,1,-0.377682631,2018
0,0,12,-1.0352,0,0.374618854,2018
1,1,16,0.2934,0,0.751821897,2018
1,1,12,1.1135,1,-1.011679476,2018
0,1,12,-0.3434,1,0.967657802,2018
0,1,12,-1.2902,1,-1.771330701,2018
0,1,12,1.6331,1,-0.396962067,2018
0,0,16,-0.0078,1,-1.056115959,2018
1,1,14,1.6765,1,-1.278014855,2018
1,0,12,-1.148,0,1.123474467,2018
0,1,16,0.2682,1,-1.298101236,2018
0,1,16,-0.1455,1,-0.632448167,2018
1,1,12,0.0449,1,-0.107770524,2018
1,1,14,0.091,1,1.066126868,2018
1,1,16,1.3685,1,0.390201611,2018
0,1,16,0.3036,1,0.431312174,2018
0,0,12,-0.5971,0,-0.213360332,2018
1,1,16,0.1672,1,0.785506387,2018
1,1,16,0.2269,1,0.674409726,2018
0,1,16,-0.2607,1,0.960787867,2018
0,1,16,0.324,1,0.427909921,2018
1,1,14,-1.7571,1,0.146744206,2018
1,1,9,-1.4039,0,-0.158760707,2018
1,1,16,1.4714,1,-0.367388633,2018
1,1,12,-1.3748,1,-1.257088815,2018
1,1,12,-0.1802,1,-0.173896373,2018
0,1,16,2.2589,1,-0.35153326,2018
1,1,16,5.3188,1,0.240208034,2018
0,1,12,-2.4955,1,-0.008439989,2018
1,1,14,0.2193,1,0.393516628,2018
1,1,16,1.6927,1,1.067937042,2018
1,1,12,0.502,1,-1.493785333,2018
1,1,16,4.0071,1,1.714092581,2018
1,1,16,0.3554,1,0.69614271,2018
0,1,12,-0.6024,1,0.837085421,2018
1,1,14,-0.4816,1,-0.679567196,2018
0,1,16,-1.9191,1,-1.198498085,2018
0,0,9,0.109,0,-1.322854811,2018
0,1,16,-0.1264,1,-0.313803141,2018
1,1,16,0.1579,1,0.727493603,2018
0,1,12,-0.0974,1,1.164988502,2018
1,1,14,2.0814,1,-1.310434405,2018
0,1,14,1.136,1,1.016619719,2018
1,1,16,0.138,1,-0.578840866,2018
1,0,16,-1.6589,0,-1.528941952,2018
0,1,14,-0.8096,1,0.031569203,2018
0,1,16,2.9187,1,0.70159504,2018
0,1,12,-1.0245,1,0.335416607,2018
1,0,12,0.4633,0,0.277098494,2018
1,1,12,-0.3689,1,-0.263696235,2018
1,1,14,0.1055,1,-0.816616944,2018
0,1,16,0.1173,1,2.169852783,2018
1,1,16,0.9753,1,0.185695646,2018
1,1,9,-1.0677,1,-0.021416533,2018
1,1,16,0.4558,1,0.153690473,2018
0,0,12,-0.9823,0,0.586627225,2018
0,0,16,0.4367,0,0.813727643,2018
1,1,16,0.3443,1,1.123125518,2018
0,1,16,0.6828,1,1.095329544,2018
0,1,16,0.2609,1,0.189773988,2018
0,1,16,0.2959,1,1.306640016,2018
0,1,16,0.9269,1,1.199196416,2018
1,1,16,0.9026,1,0.836605616,2018
0,1,16,0.9232,1,0.215966978,2018
1,1,12,0.029,1,-0.710514617,2018
1,0,16,-0.9845,1,-0.345470269,2018
1,1,14,-0.6512,1,-1.079059361,2018
0,1,14,0.4856,1,1.292518483,2018
0,1,12,-1.1922,1,-0.548122443,2018
0,1,16,-1.4138,1,-0.751854178,2018
0,1,16,2.2951,1,1.853683114,2018
0,1,16,2.8429,1,0.44757102,2018
0,1,16,-1.0729,1,1.44063646,2018
0,1,16,0.5368,1,1.471038648,2018
1,1,14,0.0495,1,-2.172589419,2018
0,1,16,2.4978,1,0.524328911,2018
1,1,16,2.0499,1,-0.260206745,2018
1,1,12,-0.048,1,-0.805766809,2018
0,1,12,-0.5862,1,-0.455738176,2018
1,1,14,-0.4531,1,-0.720448761,2018
0,1,16,1.0596,1,1.721344179,2018
1,0,14,-0.3823,1,-0.397311016,2018
0,1,16,0.1106,1,0.977799135,2018
1,1,12,0.3799,0,0.533543347,2018
0,1,12,-1.0701,1,-0.938062126,2018
1,1,16,1.0514,1,-0.775986187,2018